EXIT DATE;PL/CNTR;RISK/CNTR;DELTA;CONTRACTS;POS PL;EQUITY
04/07/2014;-45,48;0;58750;1;-45,48;277.833,02
07/07/2014;1.462,82;0;58750;1;1.462,82;279.295,84
08/07/2014;1.390,56;0;58750;1;1.390,56;280.686,40
09/07/2014;300,14;0;58750;1;300,14;280.986,54
10/07/2014;854,56;0;58750;1;854,56;281.841,10
11/07/2014;159,91;0;58750;1;159,91;282.001,01
14/07/2014;-95,3;0;58750;1;-95,3;281.905,71
15/07/2014;-340,99;0;58750;1;-340,99;281.564,72
17/07/2014;-96,94;0;58750;1;-96,94;281.467,78
22/07/2014;176,99;0;58750;1;176,99;281.644,77
23/07/2014;350,61;0;58750;1;350,61;281.995,38
24/07/2014;290,45;0;58750;1;290,45;282.285,83
25/07/2014;519,98;0;58750;1;519,98;282.805,81
28/07/2014;-97,69;0;58750;1;-97,69;282.708,12
29/07/2014;-299,52;0;58750;1;-299,52;282.408,60
30/07/2014;-531,56;0;58750;1;-531,56;281.877,04
31/07/2014;118,59;0;58750;1;118,59;281.995,63
01/08/2014;-149,27;0;58750;1;-149,27;281.846,36
04/08/2014;700,08;0;58750;1;700,08;282.546,44
05/08/2014;-906,8;0;58750;1;-906,8;281.639,64
06/08/2014;2.287,13;0;58750;1;2.287,13;283.926,77
07/08/2014;-75,3;0;58750;1;-75,3;283.851,47
08/08/2014;1.446,26;0;58750;1;1.446,26;285.297,73
11/08/2014;-220,61;0;58750;1;-220,61;285.077,12
12/08/2014;-269,26;0;58750;1;-269,26;284.807,86
13/08/2014;1.978,56;0;58750;1;1.978,56;286.786,42
15/08/2014;904,34;0;58750;1;904,34;287.690,76
18/08/2014;-309,46;0;58750;1;-309,46;287.381,30
19/08/2014;-355,43;0;58750;1;-355,43;287.025,87
20/08/2014;298,66;0;58750;1;298,66;287.324,53
21/08/2014;156,06;0;58750;1;156,06;287.480,59
22/08/2014;150,39;0;58750;1;150,39;287.630,98
25/08/2014;-130,89;0;58750;1;-130,89;287.500,09
26/08/2014;-102,76;0;58750;1;-102,76;287.397,33
03/09/2014;-1.207,42;0;58750;1;-1.207,42;286.189,91
04/09/2014;51,49;0;58750;1;51,49;286.241,40
05/09/2014;31,48;0;58750;1;31,48;286.272,88
08/09/2014;516,13;0;58750;1;516,13;286.789,01
09/09/2014;-85,76;0;58750;1;-85,76;286.703,25
10/09/2014;-610,17;0;58750;1;-610,17;286.093,08
11/09/2014;-537,77;0;58750;1;-537,77;285.555,31
12/09/2014;371,95;0;58750;1;371,95;285.927,26
15/09/2014;375,72;0;58750;1;375,72;286.302,98
16/09/2014;504,96;0;58750;1;504,96;286.807,94
17/09/2014;-163,37;0;58750;1;-163,37;286.644,57
18/09/2014;-242,79;0;58750;1;-242,79;286.401,78
22/09/2014;-413,54;0;58750;1;-413,54;285.988,24
23/09/2014;262,76;0;58750;1;262,76;286.251,00
24/09/2014;-1.152,76;0;58750;1;-1.152,76;285.098,24
25/09/2014;2.379,15;0;58750;1;2.379,15;287.477,39
26/09/2014;151,32;0;58750;1;151,32;287.628,71
29/09/2014;109,7;0;58750;1;109,7;287.738,41
30/09/2014;212,88;0;58750;1;212,88;287.951,29
01/10/2014;1.186,91;0;58750;1;1.186,91;289.138,20
02/10/2014;900,44;0;58750;1;900,44;290.038,64
06/10/2014;-254,15;0;58750;1;-254,15;289.784,49
07/10/2014;-270,81;0;58750;1;-270,81;289.513,68
08/10/2014;440,14;0;58750;1;440,14;289.953,82
09/10/2014;-998,46;0;58750;1;-998,46;288.955,36
10/10/2014;1.504,87;0;58750;1;1.504,87;290.460,23
13/10/2014;601,23;0;58750;1;601,23;291.061,46
14/10/2014;-712,94;0;58750;1;-712,94;290.348,52
15/10/2014;-756,23;0;58750;1;-756,23;289.592,29
16/10/2014;824,21;0;58750;1;824,21;290.416,50
20/10/2014;-1.228,32;0;58750;1;-1.228,32;289.188,18
21/10/2014;-150,45;0;58750;1;-150,45;289.037,73
22/10/2014;-114,18;0;58750;1;-114,18;288.923,55
23/10/2014;19,06;0;58750;1;19,06;288.942,61
24/10/2014;-323,79;0;58750;1;-323,79;288.618,82
27/10/2014;-221,91;0;58750;1;-221,91;288.396,91
28/10/2014;-637,8;0;58750;1;-637,8;287.759,11
29/10/2014;246,26;0;58750;1;246,26;288.005,37
30/10/2014;1.003,12;0;58750;1;1.003,12;289.008,49
31/10/2014;479,37;0;58750;1;479,37;289.487,86
03/11/2014;-159,66;0;58750;1;-159,66;289.328,20
04/11/2014;-167,49;0;58750;1;-167,49;289.160,71
05/11/2014;-578,22;0;58750;1;-578,22;288.582,49
06/11/2014;-284,21;0;58750;1;-284,21;288.298,28
07/11/2014;-1.102,57;0;58750;1;-1.102,57;287.195,71
10/11/2014;-119,7;0;58750;1;-119,7;287.076,01
11/11/2014;386,67;0;58750;1;386,67;287.462,68
13/11/2014;267,47;0;58750;1;267,47;287.730,15
18/11/2014;-220,1;0;58750;1;-220,1;287.510,05
19/11/2014;601,81;0;58750;1;601,81;288.111,86
20/11/2014;634,6;0;58750;1;634,6;288.746,46
21/11/2014;162,99;0;58750;1;162,99;288.909,45
24/11/2014;-293,8;0;58750;1;-293,8;288.615,65
25/11/2014;460,07;0;58750;1;460,07;289.075,72
26/11/2014;356,33;0;58750;1;356,33;289.432,05
27/11/2014;169,68;0;58750;1;169,68;289.601,73
28/11/2014;125,82;0;58750;1;125,82;289.727,55
01/12/2014;31,48;0;58750;1;31,48;289.759,03
02/12/2014;-937,92;0;58750;1;-937,92;288.821,11
03/12/2014;452,92;0;58750;1;452,92;289.274,03
04/12/2014;-435,67;0;58750;1;-435,67;288.838,36
08/12/2014;1.646,62;0;58750;1;1.646,62;290.484,98
09/12/2014;-980,79;0;58750;1;-980,79;289.504,19
10/12/2014;968,79;0;58750;1;968,79;290.472,98
11/12/2014;-1.206,48;0;58750;1;-1.206,48;289.266,50
12/12/2014;-887,25;0;58750;1;-887,25;288.379,25
15/12/2014;1.424,32;0;58750;1;1.424,32;289.803,57
16/12/2014;262,77;0;58750;1;262,77;290.066,34
17/12/2014;2.019,35;0;58750;1;2.019,35;292.085,69
19/12/2014;1.185,63;0;58750;1;1.185,63;293.271,32
22/12/2014;240,1;0;58750;1;240,1;293.511,42
23/12/2014;-491,73;0;58750;1;-491,73;293.019,69
24/12/2014;19,06;0;58750;1;19,06;293.038,75
29/12/2014;941,9;0;58750;1;941,9;293.980,65
31/12/2014;1.027,90;0;58750;1;1.027,90;295.008,55
02/01/2015;1.778,51;0;58750;1;1.778,51;296.787,06
05/01/2015;305,7;0;58750;1;305,7;297.092,76
06/01/2015;1.360,84;0;58750;1;1.360,84;298.453,60
07/01/2015;-959,78;0;58750;1;-959,78;297.493,82
08/01/2015;133,94;0;58750;1;133,94;297.627,76
09/01/2015;-1.164,43;0;58750;1;-1.164,43;296.463,33
12/01/2015;801,35;0;58750;1;801,35;297.264,68
14/01/2015;-585,78;0;58750;1;-585,78;296.678,90
15/01/2015;1.390,95;0;58750;1;1.390,95;298.069,85
16/01/2015;253,82;0;58750;1;253,82;298.323,67
19/01/2015;-167,31;0;58750;1;-167,31;298.156,36
20/01/2015;-415,15;0;58750;1;-415,15;297.741,21
21/01/2015;1.022,91;0;58750;1;1.022,91;298.764,12
22/01/2015;1.658,78;0;58750;1;1.658,78;300.422,90
23/01/2015;506,05;0;58750;1;506,05;300.928,95
26/01/2015;159,91;0;58750;1;159,91;301.088,86
27/01/2015;74,85;0;58750;1;74,85;301.163,71
28/01/2015;1.384,70;0;58750;1;1.384,70;302.548,41
29/01/2015;713,49;0;58750;1;713,49;303.261,90
02/02/2015;164,05;0;58750;1;164,05;303.425,95
04/02/2015;-1.079,65;0;58750;1;-1.079,65;302.346,30
05/02/2015;251,05;0;58750;1;251,05;302.597,35
06/02/2015;-1.196,82;0;58750;1;-1.196,82;301.400,53
09/02/2015;-467,69;0;58750;1;-467,69;300.932,84
10/02/2015;-692,56;0;58750;1;-692,56;300.240,28
11/02/2015;-333,57;0;58750;1;-333,57;299.906,71
12/02/2015;1.367,26;0;58750;1;1.367,26;301.273,97
13/02/2015;-427,87;0;58750;1;-427,87;300.846,10
16/02/2015;909,38;0;58750;1;909,38;301.755,48
17/02/2015;284,07;0;58750;1;284,07;302.039,55
18/02/2015;-534,41;0;58750;1;-534,41;301.505,14
19/02/2015;-526,59;0;58750;1;-526,59;300.978,55
20/02/2015;686,21;0;58750;1;686,21;301.664,76
23/02/2015;-28,34;0;58750;1;-28,34;301.636,42
24/02/2015;-856,57;0;58750;1;-856,57;300.779,85
